ticker,q_code,name
BPY,YAHOO/TSX_BPY_UN_TO,Brookfield Property Partners LP
BQE,YAHOO/TSX_BQE_TO,Bioteq Environmental Technologiesinc. 
BR,YAHOO/TSX_BR_TO,Big Rock Brewery Inc. 
BRB,YAHOO/TSX_BRB_TO,Brick Brewing J 
BRD,YAHOO/TSX_BRD_TO,Brigus Gold Corp 
BRE,YAHOO/TSX_BRE_TO,Brookfield Real Estate Services Inc. 
BRK,YAHOO/TSX_BRK_TO,The Brick Ltd. 
BRP,YAHOO/TSX_BRP_TO,Brookfield Residential Properties Inc 
BRY,YAHOO/TSX_BRY_TO,Bri Chem Corp 
BSC,YAHOO/TSX_BSC_TO,Bns Split Corp.Ii 
BSD,YAHOO/TSX_BSD_UN_TO,Brookfield Soundvest Split Trust
BSX,YAHOO/TSX_BSX_TO,Belo Sun Mining Corp. 
BT,YAHOO/TSX_BT_TO,Bonnetts Energy Corp 
BTB,YAHOO/TSX_BTB_UN_TO,Btb Real Estate Investment Trust Units 
BTE,YAHOO/TSX_BTE_TO,Baytex Energy Corp. 
BTO,YAHOO/TSX_BTO_TO,B2Gold Corp. 
BU,YAHOO/TSX_BU_TO,Burcon Nutrascience Corporation 
BUC,YAHOO/TSX_BUC_TO,Bucking Horse Energy Inc 
BUF,YAHOO/TSX_BUF_TO,Buffalo Coal Corp.
BUI,YAHOO/TSX_BUI_TO,Buhler Ind 
BX,YAHOO/TSX_BX_TO,Biox Corporation 
BXE,YAHOO/TSX_BXE_TO,Bellatrix Exploration Ltd 
BXI,YAHOO/TSX_BXI_TO,Bioexx Specialty Proteins Ltd. 
BYD,YAHOO/TSX_BYD_UN_TO,Boyd Group Income Fund 
BYL,YAHOO/TSX_BYL_TO,Baylin Technologies Inc.
BZA,YAHOO/TSX_BZA_TO,American Bonanza Gold Corp. 
CAB,YAHOO/TSX_CAB_A_TO,Claymore Adv Cdn Bond ETF Advisor 
CAB,YAHOO/TSX_CAB_TO,Claymore Adv Canadian Bond ETF 
CAE,YAHOO/TSX_CAE_TO,Cae Inc 
CAG,YAHOO/TSX_CAG_UN_TO,Coxe Global Agribusiness Income Fund
CAL,YAHOO/TSX_CAL_TO,Caledonia Mng 
CAM,YAHOO/TSX_CAM_TO,Canam Group Inc. 
CAR,YAHOO/TSX_CAR_UN_TO,Cdn Apartment Un 
CAS,YAHOO/TSX_CAS_TO,Cascades Inc 
CAX,YAHOO/TSX_CAX_TO,Candax Energy Inc. 
CAZ,YAHOO/TSX_CAZ_TO,Caza Oil 
CBB,YAHOO/TSX_CBB_UN_TO,Copernican British Banks Fund 
CBD,YAHOO/TSX_CBD_A_TO,Claymore Balanced Income Core ETF Adv 
CBD,YAHOO/TSX_CBD_TO,Claymore Balanced Income Core ETF 
CBF,YAHOO/TSX_CBF_TO,CanBanc 8 Income Corp.
CBH,YAHOO/TSX_CBH_A_TO,Claymore 1-10 Yr Ladder Corp Bond ETF A 
CBH,YAHOO/TSX_CBH_TO,Claymore 1-10 Yr Laddered Corp Bond ETF 
CBL,YAHOO/TSX_CBL_TO,Callidus Capital Corporation
CBN,YAHOO/TSX_CBN_A_TO,Claymore Balanced Growth Core ETF Adv 
CBN,YAHOO/TSX_CBN_TO,Claymore Balanced Growth Core ETF 
CBO,YAHOO/TSX_CBO_A_TO,Claymore 1-5Yr Ladder Corp. Bd ETF Cl A 
CBO,YAHOO/TSX_CBO_TO,Claymore 1-5Yr Laddered Corp. Bond ETF 
CBQ,YAHOO/TSX_CBQ_A_TO,Claymore BRIC ETF 
CBQ,YAHOO/TSX_CBQ_TO,Claymore BRIC ETF 
CBR,YAHOO/TSX_CBR_A_TO,Claymore Broad Commodity ETF Adv Cl 
CBR,YAHOO/TSX_CBR_TO,Claymore Broad Commodity ETF 
CBU,YAHOO/TSX_CBU_TO,First Asset Canbanc Cl. A 
CBW,YAHOO/TSX_CBW_TO,Copernican World Banks Split Inc. Cl.A 
CBY,YAHOO/TSX_CBY_TO,Canada Bread 
CCA,YAHOO/TSX_CCA_TO,Cogeco Cable Inc. Sv 
CCL,YAHOO/TSX_CCL_A_TO,Ccl Industries Inc 'A'Com Npv 
CCL,YAHOO/TSX_CCL_B_TO,Ccl Industries Inc. Cl. B Nv 
CCM,YAHOO/TSX_CCM_TO,Canarc Res J 
CCO,YAHOO/TSX_CCO_TO,Cameco Corp 
CCT,YAHOO/TSX_CCT_TO,Catamaran 
CCV,YAHOO/TSX_CCV_TO,CounterPath Corp.
CCZ,YAHOO/TSX_CCZ_TO,Criticalcontrol Solutions Corp. 
CDD,YAHOO/TSX_CDD_UN_TO,Core Canadian Dividend Trust 
CDG,YAHOO/TSX_CDG_TO,Candente Gold Corp 
CDH,YAHOO/TSX_CDH_TO,Corridor Resources Inc. 
